pc0,pc1,pc2
-2.03310204,-0.0506187268,0.0525297783
-0.287966192,-1.96835434,1.58444059
-6.22846985,0.237271696,0.656289637
-0.659895539,2.50694489,-0.587194145
0.209668592,-0.393862724,-0.131088123
0.109800629,-0.554175138,-0.830851912
-4.83829784,-1.61566901,0.937488019
3.24811554,-2.27787566,-0.389375061
1.43367422,2.17855191,-0.559550941
0.619844735,0.0977469236,-0.44968757
-0.346413404,1.47115779,-1.25423992
-0.499845088,0.692270219,-1.49347878
-1.9482069,-0.328630388,0.575744271
1.59032333,0.0833491161,-1.52097046
-3.33772683,-0.415107548,-0.72560209
-2.41270924,2.33962345,1.63315153
-3.31494355,0.681010187,0.221235558
0.998328865,0.0940114558,1.42259395
2.68150258,-0.622941136,2.19613028
-3.51957273,-0.271551609,1.53320992
-1.17750359,1.01905429,0.395936698
-5.75080681,0.978490055,0.0910118297
1.41701448,-0.101825148,0.144953042
-1.26214945,2.88288188,-1.52031052
-4.02715492,2.20133281,-0.0486931503
-3.35255122,1.20317316,0.576138318
3.65722156,-2.0152638,-0.085432671
1.95695221,0.779004574,-0.00136093586
1.06712902,-2.05573034,0.582363367
0.410060406,-1.52587903,0.0646405071
2.83777285,1.44798851,-0.853647649
-3.68584919,2.08375025,1.04471207
-5.35753059,0.881565213,4.99160099
1.8736074,-0.975946724,-1.51062512
3.13531065,-0.500242651,-2.2120297
-0.867662072,0.568052471,0.38654837
-1.32431126,0.175553098,0.706555903
-1.16606462,-0.161457881,0.636924148
6.93115616,-1.3805933,-1.09666681
11.3145189,-0.668949127,-1.01184261
-1.35733473,0.862967134,-2.43397069
-0.372597843,0.400589556,-0.519088924
3.46837783,0.741156638,0.505826473
-0.583204508,1.92786062,-1.43913984
2.67516422,0.724490523,0.46782881
-0.0318052955,1.82406282,0.236790329
-1.32219803,-0.426280081,0.306947976
-0.620373487,-0.910071731,-0.532384098
2.10245609,-2.6209991,2.48504901
0.754751861,-0.539902449,0.834786415
0.629734516,0.26204145,-0.803857625
3.47981977,-2.57610321,0.542760074
-1.23480415,-3.07936907,-1.18153679
