h0,h1,h2
0.0436364338,-0.1712998,-0.107477374
0.100714125,0.0490346141,-0.0493990704
0.0245839767,0.112998836,-0.00158250204
0.0883229598,0.264473528,-0.204633325
0.0338739306,0.0697998181,-0.106683433
-0.0305083431,0.00616921112,-0.049005799
-0.0651865676,0.284822911,-0.128658995
0.0209286157,0.29610014,0.0693445653
0.00887986738,-0.00244842726,0.0224921312
0.0320557691,-0.0858983696,-0.165645331
-0.0202262234,-0.163385525,-0.027564209
-0.043880824,0.142244488,-0.0474541523
-0.0122331688,0.285028875,-0.12842232
0.170158431,0.294629902,-0.0786348209
0.184410587,0.0795082748,-0.0145156113
0.559657931,-0.0970676318,0.155156001
-0.199182048,-0.103157274,-0.00879754499
-0.179767206,-0.11916481,-0.075605832
0.0138567984,0.240502715,-0.055334039
-6.30002469e-05,0.00512789888,-0.129568696
0.0120329708,0.327212811,-0.0715996921
-0.213935062,-0.065315783,-0.153669864
0.121166393,0.0472406149,-0.0477517433
0.0944335386,-0.151194841,-0.0997436419
0.0639557615,-0.107320361,-0.0279111248
-0.0551703945,-0.0212170146,-0.111495934
0.18610318,-0.138899341,-0.147050858
0.234043732,0.270518124,0.101333968
0.13798447,0.0692846403,-0.139598772
-0.0903182626,0.0344301499,-0.0923561752
0.0403860547,0.256654382,-0.0573170111
0.0617732406,0.0476321094,-0.0803456232
0.14295423,0.257359177,-0.0122093624
-0.00763138663,-0.0325638205,-0.227143884
-0.0132177928,-0.21850498,-0.12416479
-0.122370727,0.178884715,-0.146951392
-0.0832477584,-0.130350441,-0.0116646234
0.154484272,0.0360681266,-0.0605392382
0.0335104577,0.0854901597,-0.0505387112
0.234589949,0.118278421,-0.0210349746
0.0875854567,0.0862871855,-0.0215803403
0.162542656,0.014337861,-0.0377694517
-0.103620455,0.150313705,-0.0467192158
0.107096016,-0.00128623028,0.0785879791
0.0638930351,0.196134448,-0.0162434448
-0.165081039,-0.148102984,-0.153179377
0.0670057088,0.00984519161,-0.159324318
-0.0902119055,-0.102400817,-0.0848700777
-0.136105418,-0.361821353,-0.0898056924
0.0554042272,-0.122860633,-0.00563603826
0.182910979,0.289215982,-0.116847888
-0.051884409,0.0444966741,0.0148047004
0.103377238,0.11220704,-0.0427925102
-0.0276409071,0.194182068,-0.000364538253
0.17519176,0.080920279,-0.138195753
-0.0510494299,0.104701154,-0.0171106812
-0.028659841,0.100591004,-0.0763108209
-0.129326284,0.058128573,0.0196267497
0.216892913,-0.140196785,-0.081474334
-0.0687079653,0.0573888943,0.0117164142
0.149363071,-0.0580111071,0.00303606875
0.022289414,0.135415792,-0.0786978975
0.12572369,-0.0345572531,0.0115033267
0.0876244828,0.124053985,-0.0998638943
-0.0301210862,0.00671357242,-0.0338036977
-0.0332071222,-0.137385204,-0.114440233
0.00272840518,0.0332864374,-0.0474104807
0.0645960197,0.0963987038,0.00969569571
-0.0440832749,-0.13243784,0.025375193
-0.0355454236,0.127627999,-0.145669684
-0.0495034121,0.134884402,0.0666848123
0.0161544476,-0.0175541043,-0.0577973016
-0.0861090496,-0.104639597,-0.105745271
0.0280331522,0.0513376147,-0.0968305692
0.108506158,-0.0756408647,-0.269464701
-0.0424461067,-0.140702754,-0.0580697246
0.0321615413,-0.0614961274,-0.0601336136
-0.0300942268,-0.203778982,-0.0748638958
0.0327991247,-0.0251447111,0.000294215977
0.115380406,0.0396285281,-0.0765129179
0.0650879443,0.188515663,-0.0234621502
-0.0177359283,-0.234327585,-0.0814689249
0.0819376782,0.12925373,-0.0151220746
0.0521128364,0.192952603,0.00266971183
0.0214355383,-0.0814415514,-0.0509064235
0.116171032,0.0193600003,-0.0631627217
0.103744425,0.111423075,-0.151419461
0.178477138,0.229650185,0.0509365685
0.00347893778,-0.0616171472,-0.0929676145
-0.0719609782,0.299167395,-0.0712672323
0.0569595508,0.14124313,-0.110987075
-0.0635955259,-0.00843732152,-0.0509913042
-0.00705792382,-0.0637229607,-0.101905309
-0.00672323722,-0.0856603161,-0.198869213
-0.0177019984,-0.205339074,-0.130710751
0.226166114,-0.244538814,-0.180095449
0.0860984921,0.239088148,-0.0149569325
-0.0612094738,0.0605731979,-0.102386169
-0.0498979352,-0.0144303143,-0.118064903
0.103699736,0.1212705,-0.0282084662
0.124040477,0.0241907798,-0.0839518458
0.0423218124,-0.144708708,-0.161196917
0.0200206339,-0.0353396907,-0.0156183187
0.0164536964,0.136444405,-0.062711671
0.0424125083,-0.136432618,-0.0711245388
0.0629635751,0.111735061,-0.101362877
-0.00783837959,-0.0813012347,-0.031750571
-0.0188110266,0.0430024303,-0.0456295796
0.0513789803,0.0883892551,-0.103592269
0.0900520012,-0.0923518762,-0.0539323017
0.0350920856,0.10511075,-0.0303011779
0.00111631257,0.0155266188,-0.0957629383
0.0284260903,0.0227875896,-0.0888065696
0.0990187675,0.0284647178,-0.119141057
0.115956627,0.0509390496,-0.177398905
0.0177667029,0.0624764115,0.0478444025
-0.00108566834,0.24566412,0.0102042891
0.0538446158,0.217387319,-0.127067372
