XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
-0.900577962,0.830480874,0.0668753088,-0.61101383,-1.35003972,-0.603251159,0.0339868777,-1.06493437,-1.11311185
1.09405899,-0.379851669,1.24881566,0.405936003,1.65634871,0.703674972,0.0339386389,0.413543284,0.428323954
-0.418686152,-0.50266391,0.298035115,-1.33913529,-0.681763172,0.0741561577,1.928087,-2.14810419,-1.25604486
-1.7943083,-1.61047947,1.51622963,-0.472259521,-1.04571712,-0.262916178,0.88846302,-1.51748765,0.0313664898
1.11085379,-0.202750623,0.736041367,-0.164131522,-0.0751208887,0.218748063,-0.346951276,0.997895777,-0.0133457696
-2.2237792,-1.88983703,-1.06440938,-0.792023122,-1.63237453,-1.03880906,-1.30984128,-2.46342373,0.343436867
-0.022100199,0.735707939,0.138489112,0.462464958,0.185503677,0.269815803,0.129693076,0.420007855,-0.593911171
2.21970892,1.71883047,-0.468523562,2.21479321,2.34748316,0.990724206,-0.69504565,2.50910211,0.344406396
-1.27681637,-0.881804764,-1.16860855,-0.841884434,-1.35616267,-0.454473615,-0.357795119,-2.49682498,-1.36301315
0.870653749,1.21540642,-0.40361008,0.824311256,0.798623025,0.362384945,-0.65598464,-0.296550274,1.47008407
-0.264450252,-1.06424809,-0.564560533,0.21628961,-0.949373245,-0.022084048,-0.712150991,-1.41631711,-0.594542086
0.0587765202,1.0908134,0.145214975,0.549999774,1.10635138,-0.022084048,0.483068526,0.316377372,1.45405042
0.340696692,-0.446891487,-0.329737514,0.176246732,0.231128663,0.455751359,0.528684139,0.537404537,-0.89954567
1.7249459,2.17306495,0.540237963,1.59373093,1.83971,1.11246955,1.10814893,2.11021471,2.61712432
-0.375921458,-0.198124886,-0.486772746,0.7047773,-0.173350647,-0.0690165535,-0.599212289,0.779099345,-2.64381576
-0.894598365,-0.622227669,-0.251395851,-1.88326299,-1.07831109,-0.210107863,-0.211115316,-1.74177861,0.740525723
-0.824840605,-1.23778296,0.26513952,-0.376551956,-0.886703134,-1.54346204,-0.0153687904,0.142030925,-1.79829371
0.580822349,0.289111704,-0.370752603,1.01493979,0.230982497,0.217671886,-0.0153687904,-1.89886856,0.481392831
0.0179051682,-0.508110523,-0.574174762,0.208173528,-0.176438659,-0.0699740574,-0.804103732,-0.302370965,-1.23304832
0.137712255,-0.325255245,-0.579939485,0.135396421,-0.0746783316,-0.647448599,-0.613051713,-1.67733419,-1.25138938
-0.38218838,-0.0173449088,1.19497216,-0.551376045,-0.586295366,-0.458098948,-0.467137396,1.0117985,0.0328360014
1.44656253,1.3915447,1.94330943,1.24918485,1.55271399,1.42156327,0.185794801,0.601534963,1.26948667
2.06746721,1.55263257,1.01529789,1.39522052,1.96989489,1.62783575,2.20719242,1.37110746,1.3839922
0.282222003,0.460989028,0.773754478,-0.391399741,0.074804619,0.396387666,0.420468628,1.71592081,-0.957333326
0.167435348,0.101895154,-0.611329675,0.443110943,-0.715622485,0.347943634,-0.59710753,-0.667031705,-0.239703178
